pc,beta,var_frac,best_tissue,best_corr,corr_EVT,corr_Endothelial,corr_Erythroid,corr_Fibroblast,corr_STB,corr_vCTB
PC1,0.0459317120605387,0.0284960493448702,STB,0.0029637087557954,0.000185010106165744,0.00187057446804845,0.00167507369907152,0.00128406739103267,0.0029637087557954,0.00112212271712862
PC2,0.0934843866625015,0.0282733609794613,Endothelial,-0.00313912384802297,-0.00301711646235957,-0.00313912384802297,-0.00197136747743499,-0.00181366875649545,-0.00155017843782764,-0.00253999047073485
PC3,0.6,0.0280776754495258,vCTB,0.875787198039565,0.831905596404619,0.861083838850373,0.864519239278959,0.864738888930018,0.757232923879033,0.875787198039565
PC4,0.0939788568023798,0.0280106815371498,vCTB,-0.00273045350238413,-0.00108399302330523,0.000326182363751878,-0.000669147406517791,-0.00217592581950759,-0.00236229566847847,-0.00273045350238413
PC5,0.0727000667863933,0.0279944103730564,vCTB,-0.00093634706146822,-0.000282043553620198,4.18443791306176e-05,-0.000788637340151677,-0.000597317672160377,0.000648490751413478,-0.00093634706146822
PC6,0.040027605592251,0.0276735657751847,STB,0.00562701383119479,0.00196734302924911,0.00234447783140008,0.00234714190166764,0.00191382582352221,0.00562701383119479,0.00200750960533354
PC7,-0.5,0.0261647373542378,Erythroid,-0.620427144455246,-0.595078377331326,-0.584459577735229,-0.620427144455246,-0.569759474852767,-0.485120622210188,-0.558869027928408
PC8,0.000512628317936553,0.0261614087203993,Endothelial,-0.00511259037846952,-0.00384437272673883,-0.00511259037846952,-0.00437714345464374,-0.00402084221103855,-0.00510406111645096,-0.00410569282389295
PC9,0.000991174760780634,0.026062321182078,EVT,-0.011000522921797,-0.011000522921797,-0.00962682618531442,-0.0106444516833014,-0.00940044279595028,-0.00783584618388287,-0.0104117134273446
PC10,-0.011449867205446,0.025858668829547,EVT,0.00356804004227441,0.00356804004227441,0.00223014316245468,0.00246938053501094,0.000278030720861109,0.00300042566976955,0.00159757299062043
PC11,0.0205430261105691,0.0250487309009281,STB,-0.0079283514758515,-0.00696457341686945,-0.00551233309316791,-0.00600848212815005,-0.00675276552902473,-0.0079283514758515,-0.00613817454510373
PC12,-0.0673571796760603,0.0235985043558569,EVT,0.00473968317080713,0.00473968317080713,0.00252268454295876,0.00210259996660321,0.00164159455994612,0.00305737475360641,0.00156139156294788
PC13,0.0198269432435747,0.0223151561348187,Fibroblast,0.00547535113574172,0.000272988694237163,0.00334453945362684,0.00314921733836654,0.00547535113574172,0.00191941420994098,0.00529800463471826
PC14,0.0128081301611874,0.0221566163873242,Fibroblast,0.00559165698372843,0.00284500052862804,0.0035873044610789,0.00307801514370058,0.00559165698372843,0.00236750227876258,0.00518627159462145
PC15,-0.104282692206462,0.0221498675018225,vCTB,0.00476559058891067,0.00234130448027454,0.00472330283333365,0.0037093501288372,0.00467798910957858,0.00288582374501422,0.00476559058891067
PC16,-0.065416062861588,0.0200919266080327,vCTB,-0.00953936196530228,-0.00917259968172639,-0.00882497800443969,-0.00881007598179057,-0.00949821601387806,-0.00782114627490418,-0.00953936196530228
PC17,-0.00814509645356067,0.0180838925403095,STB,0.00332730721747175,0.00219052857064356,0.00145688328340041,0.000490904329638691,0.00278740388062219,0.00332730721747175,0.00266974624883387
PC18,0.0499291560014881,0.0174902146626102,EVT,-0.0117556578610214,-0.0117556578610214,-0.00878806520827193,-0.00806855700355531,-0.007220222590049,-0.0064155840953044,-0.00773736849369348
PC19,-0.0462694766172863,0.0173853421102862,STB,-0.00893846759174704,-0.00501316952613171,-0.00749518778193053,-0.00575219690080186,-0.00724500626737571,-0.00893846759174704,-0.0080525738174143
PC20,-0.0147368613615262,0.016644424078432,vCTB,0.00248694432502985,0.000528085520728107,0.00227002607199281,0.00192472793480973,0.0018922060926602,0.000974119619864527,0.00248694432502985
PC21,0.0410592816782227,0.0165217142831668,EVT,0.00589946500534193,0.00589946500534193,0.00354407588770976,0.00454116000642869,0.00398379485320869,0.00352372429719035,0.00402497941403707
PC22,-0.014867057741127,0.0161573906697126,Erythroid,0.0101544645374053,0.00811105638598874,0.00862098664796867,0.0101544645374053,0.00847538453591019,0.00586781135787536,0.00712803315066706
PC23,0.0646372642235611,0.0158486469892634,Erythroid,-0.00193352926293378,-0.00161882399550745,-0.00144914341834599,-0.00193352926293378,-0.000335778032525489,-0.00136742468850072,-0.00134919577544054
PC24,0.0788951049757881,0.015839630666021,vCTB,0.00229330209749314,0.000932887099154656,-0.000175733401664839,0.00148074948024291,0.00197134019633551,0.00029589901345816,0.00229330209749314
PC25,0.0367046356289161,0.0155540613485999,Erythroid,0.00663604297800813,0.00467405946726908,0.00558853023650746,0.00663604297800813,0.00538688341184423,0.00570478598839038,0.00578614458757478
PC26,0.0122163799129798,0.0151708149146099,EVT,-0.0059910962406969,-0.0059910962406969,-0.0050446699268747,-0.00485145037587662,-0.00471121570204162,-0.00369055121501791,-0.00467044076766348
PC27,0.00582675622765914,0.0150916492962166,STB,-0.00297897740686468,0.000119729836546096,-0.00161565454825006,-0.00124572621997977,-0.00205342808667734,-0.00297897740686468,-0.00186056052620425
PC28,0.0942575080774181,0.0150018965889528,EVT,-0.00421454283909739,-0.00421454283909739,-0.00407610331956577,-0.00181112172338038,-0.00239597447353455,-0.00353074519372955,-0.00231062651349058
PC29,-0.0617856653119238,0.0146845581309277,STB,0.00503339556532643,0.00239935967847592,0.00468973419322639,0.00279570761300566,0.00405489192267363,0.00503339556532643,0.00431552002397087
PC30,-0.0296592430845941,0.0146400926668341,EVT,0.00183175343644804,0.00183175343644804,0.000505353336462833,-0.000240973036428688,3.66239986455527e-05,-0.000184005029020545,0.00033512002343396
PC31,-0.0294950315343401,0.0139149370094028,EVT,0.00214361343275444,0.00214361343275444,0.00119576864559495,0.00112739428079471,0.000205906509199739,-0.000611826594485969,0.00106642739103359
PC32,0.0525992238532929,0.0135967118618724,EVT,-0.00683428283115415,-0.00683428283115415,-0.0038470501168818,-0.00491589216048343,-0.00455610300820005,-0.00155725553772482,-0.00395826936052545
PC33,0.064141044096048,0.0134593386116946,Erythroid,-0.00102325530223627,-1.27631974883968e-05,0.000830800030896655,-0.00102325530223627,-0.000732386430544964,-0.000367819877527985,-0.000590973411378813
PC34,-0.00502012180604603,0.0130802780633596,EVT,-0.00357934252076477,-0.00357934252076477,-0.0013942213160275,-0.00244382723982664,-0.00254094402537802,0.000788987165465434,-0.00180503114494017
PC35,-0.00623265633498748,0.0126919601421586,STB,0.00477044543265633,0.00183752292823723,0.00304662096189665,0.00147260681789569,0.00375074231055567,0.00477044543265633,0.00327729117125575
PC36,0.0575811131891179,0.0123019714210421,EVT,-0.00263431542095074,-0.00263431542095074,-0.00176938203402235,0.000549326493287085,0.000516989033801971,0.000918136290586275,0.000550848003767608
PC37,-0.0537657785780641,0.0115425980154277,STB,0.00210891028998854,0.000646922530367509,0.00104669478038291,-0.000948918929746992,0.00149808127936237,0.00210891028998854,0.00191593027248947
PC38,-0.0778512378949026,0.0115054228311805,EVT,0.0033207458569575,0.0033207458569575,0.00213131147845301,0.00149822385008559,0.0027371535829201,0.00137488495998244,0.00259823771791799
PC39,0.0688084819830608,0.0112300544610487,Endothelial,0.00703632264200247,0.00640958714571136,0.00703632264200247,0.00478057381739,0.00412678112643112,0.00577660883135447,0.00400395955219049
PC40,-0.0140969578868914,0.0112233477998239,STB,-0.00574674775980684,-0.00492421916863157,-0.00512128776423683,-0.00501761609984588,-0.00457640116712875,-0.00574674775980684,-0.00527987872809353
PC41,-0.028430770447613,0.0109946439999783,Erythroid,0.00834008350948686,0.00340184549038436,0.00552008457034416,0.00834008350948686,0.00787185523035128,0.00711602373779503,0.00813204708078288
PC42,0.00595738250893981,0.0108784572894143,EVT,0.00611898534240275,0.00611898534240275,0.00523059923001388,0.00479023162237555,0.00469934920522103,0.00414113771339285,0.00600266582093301
PC43,-0.0237199274583846,0.0105880100903888,vCTB,-0.00195315317143095,-8.96528597030597e-05,-0.00183951946173621,-0.00180081676002513,-0.00195204506363403,-0.0019428970934889,-0.00195315317143095
PC44,-0.0328245400148931,0.0105041946998697,EVT,-0.00782569330587231,-0.00782569330587231,-0.00655375608965846,-0.00581817694955883,-0.00580749297823445,-0.00738100037571409,-0.00661863727040964
PC45,-0.0103747265794258,0.00998394209129959,EVT,-0.00400779973729252,-0.00400779973729252,2.31320645753382e-05,0.000487103665165035,0.00121462323300186,0.00199474078906077,0.00135628644047453
PC46,-0.0371584257446577,0.00919768415265021,Endothelial,0.00159340161736805,0.000506391351469616,0.00159340161736805,0.00101985643126915,-1.55506152374253e-05,0.00154144836243827,-0.000121711031708058
PC47,-0.00507578459253876,0.00881725503072873,EVT,-0.00113747027218437,-0.00113747027218437,0.000650201873084903,0.000652029987196976,-0.000215521541902605,2.8507951044128e-05,1.10616798784093e-05
PC48,-0.0250255559134821,0.00858850603655021,Endothelial,0.0053793181041421,0.0037816415518395,0.0053793181041421,0.00247139268363841,0.002225257725205,0.00366782895804434,0.00335601435745611
PC49,0.0509934242925198,0.00812577853358922,STB,-0.00420712024227925,-0.000264379079320317,-0.00155344083365176,0.000736416731051447,0.000679121255664481,-0.00420712024227925,-0.000126800234023406
PC50,-0.0672024219950928,0.00788996860179142,vCTB,-0.00627955317351126,-0.00556384818798817,-0.00601423938841602,-0.00594837251818498,-0.00599701379064108,-0.00565075079131809,-0.00627955317351126
PC51,0.0163400861544381,0.00784566417197351,EVT,-0.00376804799377114,-0.00376804799377114,-0.00334371829180248,-0.00361699618954221,-0.00357957389436956,-0.00340648467279179,-0.00353565225677755
PC52,-0.0247407725611706,0.00780717249627435,EVT,0.00734326006408151,0.00734326006408151,0.00475972534849082,0.00506288321388502,0.00540665342989678,0.0046433514654559,0.00525008263007355
